record_id,network_event_id,event_timestamp_utc,event_type,origin_number,destination_number,direction,duration_seconds,disposition,origin_subscriber_id,origin_device_id,origin_sim_id,destination_subscriber_id,destination_device_id,destination_sim_id,origin_tower_id,origin_city,origin_latitude,origin_longitude,destination_tower_id,destination_city,destination_latitude,destination_longitude,roaming_flag,call_forwarded_flag,forwarded_to_number,conference_id,previous_value,new_value,source_system
REC-00013,NET-00011,2026-08-02T08:08:10Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,322,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00014,NET-00015,2026-08-02T09:39:27Z,SMS,+1-202-555-0109,+1-202-555-0110,OUTBOUND,0,DELIVERED,SUB-009,DEV-1009,SIM-5009,SUB-010,DEV-1010,SIM-5010,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,MESSAGING_GATEWAY
REC-00015,NET-00017,2026-08-02T11:08:08Z,VOICE_CALL,+1-202-555-0114,+1-202-555-0115,OUTBOUND,322,ANSWERED,SUB-014,DEV-1014,SIM-5014,SUB-015,DEV-1015,SIM-5015,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00016,NET-00079,2026-08-02T11:48:00Z,VOICE_CALL,+1-202-555-0104,+1-202-555-0105,OUTBOUND,145,ANSWERED,SUB-004,DEV-1004,SIM-5004,SUB-005,DEV-1005,SIM-5005,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,SWITCH_A
REC-00017,NET-00014,2026-08-02T12:18:17Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0106,OUTBOUND,195,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-006,DEV-1006,SIM-5006,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00018,NET-00080,2026-08-02T14:22:00Z,VOICE_CALL,+1-202-555-0113,+1-312-555-0190,OUTBOUND,335,ANSWERED,SUB-013,DEV-1013,SIM-5013,EXT-190,DEV-2190,SIM-6190,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00019,NET-00016,2026-08-02T15:18:02Z,VOICE_CALL,+1-202-555-0112,+1-202-555-0113,OUTBOUND,112,ANSWERED,SUB-012,DEV-1012,SIM-5012,SUB-013,DEV-1013,SIM-5013,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00020,NET-00012,2026-08-02T17:22:35Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0101,OUTBOUND,294,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-001,DEV-1001,SIM-5001,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00021,NET-00013,2026-08-02T18:40:08Z,VOICE_CALL,+1-202-555-0103,+1-202-555-0104,OUTBOUND,435,ANSWERED,SUB-003,DEV-1003,SIM-5003,SUB-004,DEV-1004,SIM-5004,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,N,N,,,,,SWITCH_A
REC-00022,NET-00018,2026-08-02T19:13:00Z,VOICE_CALL,+1-202-555-0107,+1-617-555-0155,OUTBOUND,316,ANSWERED,SUB-007,DEV-1007,SIM-5007,EXT-155,DEV-2155,SIM-6155,TWR-NYC-01,"New York, NY",40.7128,-74.006,TWR-BOS-01,"Boston, MA",42.3601,-71.0589,N,N,,,,,SWITCH_A
REC-00023,NET-00088,2026-08-03T04:01:00Z,VOICE_CALL,+1-202-555-0111,+1-202-555-0109,OUTBOUND,1,CANCELED,SUB-011,DEV-1011,SIM-5011,SUB-009,DEV-1009,SIM-5009,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00024,NET-00089,2026-08-03T04:03:00Z,VOICE_CALL,+1-202-555-0111,+1-202-555-0109,OUTBOUND,0,NO_ANSWER,SUB-011,DEV-1011,SIM-5011,SUB-009,DEV-1009,SIM-5009,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00025,NET-00090,2026-08-03T04:05:00Z,VOICE_CALL,+1-202-555-0111,+1-202-555-0109,OUTBOUND,2,CANCELED,SUB-011,DEV-1011,SIM-5011,SUB-009,DEV-1009,SIM-5009,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00026,NET-00091,2026-08-03T04:07:00Z,VOICE_CALL,+1-202-555-0111,+1-202-555-0109,OUTBOUND,1,NO_ANSWER,SUB-011,DEV-1011,SIM-5011,SUB-009,DEV-1009,SIM-5009,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00027,NET-00092,2026-08-03T04:09:00Z,VOICE_CALL,+1-202-555-0111,+1-202-555-0109,OUTBOUND,0,NO_ANSWER,SUB-011,DEV-1011,SIM-5011,SUB-009,DEV-1009,SIM-5009,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00028,NET-00093,2026-08-03T04:11:00Z,VOICE_CALL,+1-202-555-0111,+1-202-555-0109,OUTBOUND,1,CANCELED,SUB-011,DEV-1011,SIM-5011,SUB-009,DEV-1009,SIM-5009,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00029,NET-00094,2026-08-03T04:14:00Z,VOICE_CALL,+1-202-555-0109,+1-202-555-0111,OUTBOUND,127,ANSWERED,SUB-009,DEV-1009,SIM-5009,SUB-011,DEV-1011,SIM-5011,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00030,NET-00019,2026-08-03T08:18:05Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,417,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00031,NET-00023,2026-08-03T09:44:35Z,SMS,+1-202-555-0109,+1-202-555-0110,OUTBOUND,0,DELIVERED,SUB-009,DEV-1009,SIM-5009,SUB-010,DEV-1010,SIM-5010,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,MESSAGING_GATEWAY
REC-00032,NET-00024,2026-08-03T09:46:35Z,SMS,+1-202-555-0110,+1-202-555-0109,OUTBOUND,0,DELIVERED,SUB-010,DEV-1010,SIM-5010,SUB-009,DEV-1009,SIM-5009,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,MESSAGING_GATEWAY
REC-00033,NET-00026,2026-08-03T10:58:01Z,VOICE_CALL,+1-202-555-0114,+1-202-555-0115,OUTBOUND,241,ANSWERED,SUB-014,DEV-1014,SIM-5014,SUB-015,DEV-1015,SIM-5015,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00034,NET-00022,2026-08-03T12:22:21Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0106,OUTBOUND,87,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-006,DEV-1006,SIM-5006,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00035,NET-00027,2026-08-03T13:20:02Z,VOICE_CALL,+1-202-555-0116,+1-305-555-0144,OUTBOUND,437,ANSWERED,SUB-016,DEV-1016,SIM-5016,EXT-144,DEV-2144,SIM-6144,TWR-MIA-01,"Miami, FL",25.7617,-80.1918,TWR-MIA-01,"Miami, FL",25.7617,-80.1918,N,N,,,,,SWITCH_A
REC-00036,NET-00025,2026-08-03T15:08:26Z,VOICE_CALL,+1-202-555-0112,+1-202-555-0113,OUTBOUND,328,ANSWERED,SUB-012,DEV-1012,SIM-5012,SUB-013,DEV-1013,SIM-5013,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00037,NET-00081,2026-08-03T16:52:00Z,VOICE_CALL,+1-202-555-0108,+1-202-555-0102,OUTBOUND,201,ANSWERED,SUB-008,DEV-1008,SIM-5008,SUB-002,DEV-1002,SIM-5002,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00038,NET-00020,2026-08-03T17:37:12Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0101,OUTBOUND,209,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-001,DEV-1001,SIM-5001,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00039,NET-00021,2026-08-03T18:48:24Z,VOICE_CALL,+1-202-555-0103,+1-202-555-0104,OUTBOUND,432,ANSWERED,SUB-003,DEV-1003,SIM-5003,SUB-004,DEV-1004,SIM-5004,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,N,N,,,,,SWITCH_A
REC-00040,NET-00028,2026-08-04T08:08:14Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,253,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00041,NET-00095,2026-08-04T09:00:00Z,DEVICE_REGISTRATION,+1-202-555-0106,,OUTBOUND,,,SUB-006,DEV-7777,SIM-5006,,,,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,,,,,N,N,,,DEV-1006,DEV-7777,RADIO_ACCESS_LOG
REC-00042,NET-00096,2026-08-04T09:03:00Z,DEVICE_REGISTRATION,+1-202-555-0112,,OUTBOUND,,,SUB-012,DEV-7777,SIM-5012,,,,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,,,,,N,N,,,DEV-1012,DEV-7777,RADIO_ACCESS_LOG
REC-00043,NET-00032,2026-08-04T09:28:29Z,SMS,+1-202-555-0109,+1-202-555-0110,OUTBOUND,0,DELIVERED,SUB-009,DEV-1009,SIM-5009,SUB-010,DEV-1010,SIM-5010,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,MESSAGING_GATEWAY
REC-00044,NET-00034,2026-08-04T10:56:47Z,VOICE_CALL,+1-202-555-0114,+1-202-555-0115,OUTBOUND,330,ANSWERED,SUB-014,DEV-1014,SIM-5014,SUB-015,DEV-1015,SIM-5015,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00045,NET-00031,2026-08-04T12:03:03Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0106,OUTBOUND,254,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-006,DEV-1006,SIM-5006,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00046,NET-00082,2026-08-04T13:35:00Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0106,OUTBOUND,98,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-006,DEV-1006,SIM-5006,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00047,NET-00033,2026-08-04T15:07:30Z,VOICE_CALL,+1-202-555-0112,+1-202-555-0113,OUTBOUND,207,ANSWERED,SUB-012,DEV-1012,SIM-5012,SUB-013,DEV-1013,SIM-5013,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00048,NET-00029,2026-08-04T17:22:17Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0101,OUTBOUND,270,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-001,DEV-1001,SIM-5001,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00049,NET-00030,2026-08-04T18:42:49Z,VOICE_CALL,+1-202-555-0103,+1-202-555-0104,OUTBOUND,711,ANSWERED,SUB-003,DEV-1003,SIM-5003,SUB-004,DEV-1004,SIM-5004,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,N,N,,,,,SWITCH_A
REC-00050,NET-00035,2026-08-04T20:18:36Z,VOICE_CALL,+1-202-555-0107,+1-202-555-0108,OUTBOUND,390,ANSWERED,SUB-007,DEV-1007,SIM-5007,SUB-008,DEV-1008,SIM-5008,TWR-NYC-01,"New York, NY",40.7128,-74.006,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00051,NET-00036,2026-08-05T08:10:39Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,293,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00052,NET-00039,2026-08-05T09:20:03Z,SMS,+1-202-555-0109,+1-202-555-0110,OUTBOUND,0,DELIVERED,SUB-009,DEV-1009,SIM-5009,SUB-010,DEV-1010,SIM-5010,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,MESSAGING_GATEWAY
REC-00053,NET-00040,2026-08-05T09:22:03Z,SMS,+1-202-555-0110,+1-202-555-0109,OUTBOUND,0,DELIVERED,SUB-010,DEV-1010,SIM-5010,SUB-009,DEV-1009,SIM-5009,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,MESSAGING_GATEWAY
REC-00054,NET-00083,2026-08-05T10:18:00Z,VOICE_CALL,+1-202-555-0115,+1-303-555-0166,OUTBOUND,276,ANSWERED,SUB-015,DEV-1015,SIM-5015,EXT-166,DEV-2166,SIM-6166,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00055,NET-00042,2026-08-05T10:53:28Z,VOICE_CALL,+1-202-555-0114,+1-202-555-0115,OUTBOUND,376,ANSWERED,SUB-014,DEV-1014,SIM-5014,SUB-015,DEV-1015,SIM-5015,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00056,NET-00038,2026-08-05T12:19:39Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0106,OUTBOUND,125,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-006,DEV-1006,SIM-5006,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00057,NET-00041,2026-08-05T15:06:15Z,VOICE_CALL,+1-202-555-0112,+1-202-555-0113,OUTBOUND,172,ANSWERED,SUB-012,DEV-1012,SIM-5012,SUB-013,DEV-1013,SIM-5013,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00058,NET-00037,2026-08-05T17:31:47Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0101,OUTBOUND,226,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-001,DEV-1001,SIM-5001,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00059,NET-00097,2026-08-05T18:03:00Z,VOICE_CALL,+1-202-555-0103,+1-202-555-0105,OUTBOUND,480,ANSWERED,SUB-003,DEV-1003,SIM-5003,SUB-005,DEV-1005,SIM-5005,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,SWITCH_A
REC-00060,NET-00098,2026-08-05T18:05:30Z,VOICE_CALL,+1-202-555-0103,+1-202-555-0106,OUTBOUND,210,ANSWERED,SUB-003,DEV-1003,SIM-5003,SUB-006,DEV-1006,SIM-5006,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00061,NET-00043,2026-08-05T19:17:43Z,VOICE_CALL,+1-202-555-0107,+1-617-555-0155,OUTBOUND,357,ANSWERED,SUB-007,DEV-1007,SIM-5007,EXT-155,DEV-2155,SIM-6155,TWR-NYC-01,"New York, NY",40.7128,-74.006,TWR-BOS-01,"Boston, MA",42.3601,-71.0589,N,N,,,,,SWITCH_A
REC-00062,NET-00044,2026-08-06T08:14:09Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,450,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00063,NET-00048,2026-08-06T09:36:16Z,SMS,+1-202-555-0109,+1-202-555-0110,OUTBOUND,0,DELIVERED,SUB-009,DEV-1009,SIM-5009,SUB-010,DEV-1010,SIM-5010,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,MESSAGING_GATEWAY
REC-00064,NET-00050,2026-08-06T10:53:11Z,VOICE_CALL,+1-202-555-0114,+1-202-555-0115,OUTBOUND,300,ANSWERED,SUB-014,DEV-1014,SIM-5014,SUB-015,DEV-1015,SIM-5015,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00065,NET-00047,2026-08-06T12:02:47Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0106,OUTBOUND,102,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-006,DEV-1006,SIM-5006,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00066,NET-00051,2026-08-06T13:15:11Z,VOICE_CALL,+1-202-555-0116,+1-305-555-0144,OUTBOUND,638,ANSWERED,SUB-016,DEV-1016,SIM-5016,EXT-144,DEV-2144,SIM-6144,TWR-MIA-01,"Miami, FL",25.7617,-80.1918,TWR-MIA-01,"Miami, FL",25.7617,-80.1918,N,N,,,,,SWITCH_A
REC-00067,NET-00099,2026-08-06T14:00:00Z,VOICE_CALL,+1-202-555-0108,+1-202-555-0102,OUTBOUND,360,ANSWERED,SUB-008,DEV-1008,SIM-5008,SUB-002,DEV-1002,SIM-5002,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00068,NET-00100,2026-08-06T14:18:00Z,SMS,+1-202-555-0108,+1-202-555-0107,OUTBOUND,0,DELIVERED,SUB-008,DEV-1008,SIM-5008,SUB-007,DEV-1007,SIM-5007,TWR-LAX-01,"Los Angeles, CA",34.0522,-118.2437,TWR-NYC-01,"New York, NY",40.7128,-74.006,Y,N,,,,,MESSAGING_GATEWAY
REC-00069,NET-00101,2026-08-06T14:24:00Z,VOICE_CALL,+1-202-555-0108,+1-415-555-0188,OUTBOUND,90,ANSWERED,SUB-008,DEV-1008,SIM-5008,EXT-188,DEV-2188,SIM-6188,TWR-LAX-01,"Los Angeles, CA",34.0522,-118.2437,TWR-SFO-01,"San Francisco, CA",37.7749,-122.4194,Y,N,,,,,SWITCH_A
REC-00070,NET-00102,2026-08-06T14:39:00Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0108,OUTBOUND,142,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-008,DEV-1008,SIM-5008,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00071,NET-00049,2026-08-06T15:00:43Z,VOICE_CALL,+1-202-555-0112,+1-202-555-0113,OUTBOUND,321,ANSWERED,SUB-012,DEV-1012,SIM-5012,SUB-013,DEV-1013,SIM-5013,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00072,NET-00084,2026-08-06T16:41:00Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0109,OUTBOUND,189,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-009,DEV-1009,SIM-5009,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00073,NET-00045,2026-08-06T17:25:44Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0101,OUTBOUND,280,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-001,DEV-1001,SIM-5001,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
